City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,khairpur,27.5295,68.7617,30.0,42,0,6.42,PK,1686611236
288,muravlenko,63.7898,74.523,2.19,86,97,6.83,RU,1686611236
289,san miguel,13.4833,-88.1833,30.78,72,99,2.38,SV,1686611236
290,tromso,69.6496,18.957,8.01,76,100,7.72,NO,1686611236
291,samtse,26.899,89.0995,22.73,84,65,2.5,BT,1686611237
292,paita,-5.0892,-81.1144,24.69,72,0,8.71,PE,1686611237
293,raduzhny,62.0961,77.475,2.86,96,100,5.82,RU,1686611237
294,hede,33.7681,120.2517,21.91,57,100,0.84,CN,1686611120
295,matoury,4.8483,-52.3317,26.98,83,0,2.06,GF,1686611237
296,sal rei,16.1833,-22.9167,23.87,87,80,7.72,CV,1686611237
297,tralee,52.2704,-9.7026,14.18,95,60,1.4,IE,1686611237
298,hit,33.6416,42.8251,32.01,23,19,2.52,IQ,1686611237
299,shingu,33.7333,135.9833,25.31,70,55,1.04,JP,1686611238
300,rawai,7.7797,98.3253,25.06,74,96,3.43,TH,1686611238
301,paradip garh,20.3167,86.6167,31.17,74,100,4.44,IN,1686611238
302,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,1686611002
303,capinopolis,-18.6819,-49.5697,24.41,42,15,1.06,BR,1686610978
304,cole harbour,44.6724,-63.4751,17.06,71,100,2.15,CA,1686611238
305,aldinga beach,-35.2793,138.4604,14.26,77,63,10.5,AU,1686611083
306,kibre mengist,5.8833,38.9833,14.59,97,100,0.63,ET,1686611239
307,sidi ifni,29.3797,-10.173,20.84,90,28,5.42,MA,1686611239
308,arraias,-12.9288,-46.9437,25.9,33,53,1.21,BR,1686611239
309,westerland,54.9079,8.3033,17.01,55,6,6.69,DE,1686611239
310,okhotsk,59.3833,143.3,7.94,88,89,4.59,RU,1686611239
311,jalai nur,49.45,117.7,23.56,34,89,2.41,CN,1686611239
312,saipan,15.1355,145.701,28.69,100,52,5.36,MP,1686610935
313,fortuna,40.5982,-124.1573,17.18,81,20,9.26,US,1686611037
314,darwin,-12.4611,130.8418,22.99,60,0,3.6,AU,1686611240
315,saint-pierre,-21.3393,55.4781,22.54,73,0,2.06,RE,1686611240
316,xichang,27.8964,102.2634,15.56,86,100,0.35,CN,1686611240
317,iskateley,67.6803,53.1512,6.61,90,68,5.01,RU,1686611240
318,mount isa,-20.7333,139.5,16.87,51,75,0.0,AU,1686611241
319,island harbour,50.724,-1.2758,18.44,91,11,0.45,GB,1686611241
320,remire-montjoly,4.9167,-52.2667,27.02,83,0,2.06,GF,1686611241
321,la passe,45.5549,-0.8967,19.43,92,98,4.35,FR,1686611241
322,mohale's hoek,-30.1514,27.4769,4.79,77,91,1.95,LS,1686611187
323,belmonte,-15.8631,-38.8828,23.32,85,0,2.39,BR,1686611241
324,al jawf,29.5,38.75,26.15,26,0,3.57,SA,1686611241
325,san patricio,28.017,-97.5169,34.4,58,3,7.8,US,1686611242
